player_id,name,pos,club,now_price,owned_by_%,xG_last4,xA_last4,xGI_last4,npXGI90_last6,shots_box_last4,big_chances_last4,key_passes_last4,mins_last4,expected_minutes_gw+1,proj_points_gw+1,proj_points_next3,injury_status,notes,legend_weight
238,Estêvão Almeida de Oliveira Gonçalves,MID,CHE,6.5,2.6,,,,,,,,,,,,,,1.0
257,Maxence Lacroix,DEF,CRY,5.0,2.6,,,,,,,,,,,,,,1.0
10,Myles Lewis-Skelly,DEF,ARS,5.4,2.6,,,,,,,,,,,,,,1.0
593,Pape Matar Sarr,MID,TOT,5.0,2.6,,,,,,,,,,,,,,1.0
444,Leny Yoro,DEF,MUN,4.5,2.5,,,,,,,,,,,,,,1.0
488,Bruno Guimarães Rodriguez Moura,MID,NEW,6.5,2.5,,,,,,,,,,,,,,1.0
612,Lucas Tolentino Coelho de Lima,MID,WHU,5.9,2.5,,,,,,,,,,,,,,1.0
341,Karl Darlow,GKP,LEE,4.0,2.5,,,,,,,,,,,,,,1.0
573,Djed Spence,DEF,TOT,4.5,2.3,,,,,,,,,,,,,,1.0
338,Rodrigo Muniz Carvalho,FWD,FUL,5.5,2.3,,,,,,,,,,,,,,1.0
335,Josh King,MID,FUL,4.5,2.3,,,,,,,,,,,,,,1.0
97,Francisco Evanilson de Lima Barbosa,FWD,BOU,7.0,2.3,,,,,,,,,,,,,,1.0
182,James Trafford,GKP,MCI,5.0,2.3,,,,,,,,,,,,,,1.0
178,Danny Welbeck,FWD,BHA,6.4,2.3,,,,,,,,,,,,,,1.0
596,Dominic Solanke-Mitchell,FWD,TOT,7.2,2.1,,,,,,,,,100.0,,,,,1.0
37,Lucas Digne,DEF,AVL,4.5,2.1,,,,,,,,,,,,,,1.0
452,Amad Diallo,MID,MUN,6.4,2.0,,,,,,,,,,,,,,1.0
497,Lewis Miley,MID,NEW,4.5,2.0,,,,,,,,,,,,,,1.0
233,Josh Acheampong,DEF,CHE,4.0,2.0,,,,,,,,,,,,,,1.0
658,Nathan Fraser,FWD,WOL,4.4,2.0,,,,,,,,,,,,,,1.0
250,Liam Delap,FWD,CHE,6.3,1.9,,,,,,,,,,,,,,1.0
205,Josh Cullen,MID,BUR,5.0,1.9,,,,,,,,,,,,,,1.0
26,Martín Zubimendi Ibáñez,MID,ARS,5.5,1.8,,,,,,,,,,,,,,1.0
258,Tyrick Mitchell,DEF,CRY,5.0,1.8,,,,,,,,,,,,,,1.0
261,Chris Richards,DEF,CRY,4.5,1.8,,,,,,,,,,,,,,1.0
187,Kyle Walker,DEF,BUR,4.5,1.8,,,,,,,,,,,,,,1.0
198,Axel Tuanzebe,DEF,BUR,3.9,1.8,,,,,,,,,100.0,,,,,1.0
48,Youri Tielemans,MID,AVL,5.9,1.8,,,,,,,,,,,,,,1.0
561,Eliezer Mayenda Dossou,FWD,SUN,5.5,1.7,,,,,,,,,,,,,,1.0
628,José Malheiro de Sá,GKP,WOL,4.5,1.7,,,,,,,,,,,,,,1.0
32,Emiliano Martínez Romero,GKP,AVL,5.0,1.7,,,,,,,,,100.0,,,,,1.0
675,Angus Gunn,GKP,NFO,4.0,1.7,,,,,,,,,,,,,,1.0
